指标名称,(),增长（％）
本月,累计,本月,累计
全社会用电量,549.61,3630.71,14.2,6.8
工业用电量,396.64,2738.97,8.8,5.2
轻工业,103.58,689.34,8.3,6.9
重工业,293.06,2049.63,8.9,4.6
城乡居民用电,62.95,391.46,39.3,12.1
城镇居民,30.26,194.58,43.3,12.6
乡村居民,32.68,196.88,35.8,11.6
分市工业用电量,,,,
苏南,238.48,1623.96,7.4,5.2
苏中,57.81,402.95,6.8,5.3
苏北,72.48,531.89,-0.8,1.5
南京市,31.67,211.57,6.8,4.9
无锡市,47.98,331.11,8.5,6.0
徐州市,23.26,172.20,-3.4,2.2
常州市,31.34,223.52,4.2,4.5
苏州市,110.84,741.02,8.3,4.5
昆山市,,113.32,,7.8
南通市,25.71,178.39,7.6,7.0
连云港市,9.93,71.89,-3.4,-6.6
淮安市,10.91,72.79,8.7,1.3
盐城市,17.08,136.81,-7.1,-0.1
扬州市,15.18,107.23,1.6,5.1
镇江市,16.66,116.74,6.2,9.0
泰州市,16.93,117.33,10.6,3.1
泰兴市,,27.96,,2.6
宿迁市,11.30,78.20,10.3,11.8
沭阳县,,22.16,,16.8
