城市/月份,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
南京市,25.61,18.14,27.00,20.84,24.06,26.87,33.83,31.67,20.77,20.46,27.13,30.89
无锡市,41.09,22.51,44.65,38.92,41.99,42.10,51.22,47.98,34.85,38.06,42.68,47.03
徐州市,20.71,15.24,21.56,20.26,21.97,22.30,25.23,23.26,16.61,17.34,21.50,22.57
常州市,27.88,16.55,28.45,28.29,29.15,28.69,32.92,31.34,23.82,26.39,30.39,30.65
苏州市,93.17,56.12,95.31,87.15,91.89,94.22,114.06,110.84,85.81,88.52,96.90,104.06
南通市,22.07,13.48,23.91,20.87,22.05,22.16,27.34,25.71,19.36,20.31,22.98,24.62
连云港市,9.08,5.80,8.61,7.97,9.07,9.38,11.06,9.93,7.36,7.98,10.82,11.95
淮安市,8.88,5.83,8.69,8.29,8.49,10.49,11.08,10.91,6.14,8.86,9.57,9.35
盐城市,16.60,11.57,18.83,16.08,17.46,17.55,19.51,17.08,13.37,16.07,17.26,17.85
扬州市,12.92,8.46,13.10,12.52,13.30,13.44,16.78,15.18,9.67,11.28,13.64,14.78
镇江市,14.38,8.36,14.77,14.21,15.16,14.60,17.40,16.66,11.59,13.29,15.94,16.22
泰州市,14.60,8.25,15.13,13.83,14.39,15.16,18.08,16.93,11.77,13.16,16.53,17.41
宿迁市,9.56,5.04,9.46,9.33,9.93,10.06,12.43,11.30,7.78,8.74,10.37,10.73
